,receiving_city,academic_year,alumnos_a_spain
1,Jaén,2017-2018,28
2,Armilla,2019-2020,4
3,Barcelona,2017-2018,47
4,Barcelona,2019-2020,22
5,Ciudad Real,2018-2019,34
6,Burgos,2018-2019,22
7,Cordoba,2017-2018,2
8,Asturias,2019-2020,49
9,Cáceres,2017-2018,10
10,Zamora,2018-2019,32
11,Gijón,2016-2017,1
12,Las Palmas,2018-2019,15
13,Granada,2018-2019,3
14,Madrid,2018-2019,14
15,Madrid,2019-2020,15
16,Madrid,2018-2019,16
17,Madrid,2015-2016,29
18,Madrid,2019-2020,36
19,Lugo,2016-2017,27
20,Badajoz,2014-2015,12
21,Badajoz,2015-2016,6
22,Badajoz,2017-2018,10
23,Madrid,2015-2016,30
24,Madrid,2016-2017,30
25,Madrid,2016-2017,25
26,Madrid,2019-2020,30
27,Madrid,2018-2019,15
28, A Coruña,2017-2018,27
29,Oviedo,2016-2017,9
30,Oviedo,2017-2018,13
31,Córdoba,2019-2020,20
32,Almería,2016-2017,24
33,Salamanca,2018-2019,33
34,A Coruña,2015-2016,35
35,A Coruña,2016-2017,29
36,Sevilla,2017-2018,24
37,Sevilla,2016-2017,37
38,Soria,2017-2018,15
39,Zaragoza,2018-2019,10
40,Zaragoza,2019-2020,7
41,Zaragoza,2016-2017,7
42,Málaga,2017-2018,4
43,Málaga,2017-2018,10
44,Valencia,2016-2017,13
45,Valencia,2017-2018,3
46,Valencia,2019-2020,223
47,Valencia,2018-2019,22
48,Ourense,2017-2018,20
49,Zaragoza,2015-2016,113
50,Zaragoza,2017-2018,12
51,Zaragoza,2019-2020,41
,,,
,,,1315
